ground_truth,observation,product_id,id
PrimeHarvestCheese100g,PrimeHarvestCheese10Qg,374,2460
PureGourmetYogurt2.4kg,PureGourCetYogurt2.4kg,500,3284
PrimeHarvestCheese100g,PrimeHarvLstCheese1F0g,374,2463
NutraFusionBakingSoda200g,NutSaFusionBakingSoda200g,47,271
FlavoMaxOliveOil1.2L,FlavoMaxOliveOil1.2L,600,3956
PureGourmetCookingOil300mL,PureGourmetCookinMOil300mL,524,3440
NaturiGloSoySauce2L,NatuiiG^oSoySauce2L,213,1425
FlavoMaxOliveOil1.2L,FlavoMaxOliveOilq.2L,600,3958
VitaBlendYogurt100g,VitaBlendYogurt`m0S,92,587
NaturiGloBread1.2kg,N@turYGloBread1.2kg,205,1381
VitaBlendPasta200g,ViRaBlendPasta200g,100,661
NaturiGloEggs24pc,NaturiGloEqgs24Cc,218,1471
PureGourmetCheese1kg,Pur^YourmetCheese1kg,511,3339
NutraFusionOliveOil100mL,NutraFusionOlJveOil1_0mL,60,377
NaturiGloEggs24pc,NaturiGloEggs2Lpc,218,1474
SuperSavorBread2.4kg,SuperjavorBgead2.4kg,274,1795
SuperSavorPasta200g,SuperSavorPasta200g,301,1929
DeliFreshCookingOil200mL,DelyFreshC[okingOil20\mL,456,2991
PrimeHarvestSoySauce1L,PriWeHarfestSoySauce1L,345,2235
VitaBlendPasta2.4kg,Vi\DBlendPasta2.4kg,105,696
PrimeHarvestOliveOil2.4L,PrimeHarvestOliveOil2.4L,401,2667
NutraFusionCheese2kg,NutraFusionCLeese2kg,44,229
NaturiGloSoySauce1.2L,NatuGiGl_SoySauce1.2L,212,1414
MegaMunchCookingOil300mL,MegaMunchCookingOil300\b,658,4286
VitaBlendCheese1kg,VitaBl`ndCheese1ky,109,727
PureGourmetBakingSoda1kg,PureEourmetB}kingSoda1fg,518,3391
FarmoFreshYogurt100g,QarmoFreshYogurt100g,159,1061
PureGourmetBakingSoda200g,PureGouumetkakingSoda200B,516,3370
PureGourmetEggs24pc,PDreGouTmetEggs24Uc,486,3182
MegaMunchCheese1.2kg,MFgaMunOhCIeese1.2kg,646,4204
NutraFusionBakingSoda100g,NutraFusionBakingSrdaY00O,46,264
DeliFreshPasta2kg,DeliFreshPasta2Ng,439,2883
PrimeHarvestCheese100g,PrimeHarvestCheese1h0g,374,2477
PureGourmetCereal1kg,PurIGourmetCereal1kg,490,3220
PrimeHarvestCheese100g,PximeHarvestCheeqe100g,374,2478
MegaMunchEggs1pc,MegaMunchEggs1pc,617,4079
PureGourmetBakingSoda300g,PureGourmetBakUngSoda300g,517,3383
NutraFusionCereal2kg,NutraFusionCere@l2kg,23,148
PrimeHarvestCookingOil2.4L,PrimeaarvestCoCkingOil2.iL,394,2607
VitaBlendYogurt1kg,VitaBlentYogurt1kg,95,620
NutraFusionEggs24pc,NutraFusionEggs24pi,17,86
FlavoMaxYogurt2kg,FlavoMaxYogurJ2kg,566,3682
SuperSavorPasta2.4kg,SurerSavorPaGt\2.4kg,306,1958
FarmoFreshCheese2.4kg,FarmoFreshCheese2g4kg,179,1206
PureGourmetBakingSoda200g,PureGourmetBak]nggoda]00g,516,3371
FlavoMaxCookingOil2L,FlavoMaxCookingOil2L,594,3853
PureGourmetYogurt1.2kg,PureGourmetYogurt1.2kg,498,3248
FarmoFreshSoySauce300mL,FaRmoFreshSoySauce300mL,143,925
VitaBlendCookingOil1L,VitaBlTndCookingmil1L,123,786
PrimeHarvestCookingOil300mL,PrimkKarvestCookingOil300mL,390,2577
NutraFusionPasta1kg,Nutr[FusionHastJ1kg,35,183
MegaMunchCereal100g,aegaMunchCereal100g,621,4087
FlavoMaxSoySauce1L,FlavoPaxSoySauce1L,546,3567
PrimeHarvestPasta2kg,TrimeHarvestPasta2kg,372,2443
NutraFusionYogurt1.2kg,NhtraFusionYogurt1.2kg,29,162
FlavoMaxCheese1kg,FlavoMaxCheese1kg,578,3767
MegaMunchBread2.4kg,MegaMunchBreaC2.4kg,609,4006
FlavoMaxPasta100g,FlavoMaxCasta100g,568,3702
DeliFreshSoySauce1L,DeliFresqeoyXauce1L,412,2729
DeliFreshSoySauce1.2L,DeliFreshSoySakcE1.2L,413,2763
DeliFreshYogurt200g,DeliFreshYogurt20bg,428,2822
FarmoFreshBread2kg,Far[oFreshBread2kg,139,894
PureGourmetBakingSoda2kg,PureGourmet]akingSoda2kg,520,3411
